Name,Phone,Address,Facebook
The Martha Washington Inn & Spa,276-628-3161,150 W Main St Abingdon VA 24210,http://facebook.com/TheMarthaWashington
Saltville Emporium,828-964-1060,115 W Main St. Saltville VA 24370,http://facebook.com/saltvlleemporium
Williamsburg Antique Mall,757-776-0094,500 Lightfoot Road Williamsburg VA 23188,http://www.facebook.com/WilliamsburgAntiquesMall
MinuteMan MiniMall,540-825-3133,746 Germanna Hwy Culpeper VA 22701,http://www.facebook.com/MinuteManMiniMall/
Crawford Antiques,276-780-5497,147 E Main St Chilhowie VA 24319,http://facebook.com/profile.php?id=100057609812480
Salem Antique Market,540-389-6559,2700 W Main St Salem VA 24153,http://www.facebook.com/salemantiquemkt
50 West Antiques,540-686-0291,2480 Northwestern Pike Winchester VA 22603,unavailable
Alpha and Omega Antique Mall,540-255-4174,232 Arch Ave Waynesboro VA 22980,http://facebook.com/AlphaOmegaAntiqueMall
The Big Flea Antiques Market,757-430-4735,4320 Chantilly Shopping Center Chantilly  VA 20151,http://facebook.com/bigfleamarket
Gray House Annex,276-780-5497,147 E Main St Chilhowie VA 24319,unavailable
Old Fort Antique Mall,276-228-4438,2028 E Lee Hwy  Ste A Wytheville VA 24382,http://www.facebook.com/OldFortAntiqueMall/
Circle A Antique Mall,434-821-4668,8930 Wards Rd Rustburg VA 24588,http://www.facebook.com/Circle-A-Antique-Mall-165121413530100/
Lightfoot Antique Mall,757-229-8759,6623 Richmond Rd Williamsburg VA 23188,http://facebook.com/lightfootantiquemall
Governor's Architectural Antiques ,804-746-1030,8000 Antique Ln Mechanicsville VA 23116,http://facebook.com/governorsantiques
The Old Country Store Antiques,804-991-3337,10020 County Dr Disputanta VA 23842,http://facebook.com/The-Old-Country-Store-Antiques-443407705698747/
Barter Theatre,276-619-3342,127 Main Street Abingdon VA 24212,http://facebook.com/BarterTheatre
Rocky's Gold, Silver & Antiques,540-234-8676,3287 Lee Hwy Weyers Cave VA 24486,http://Facebook.com/RockysGoldSilverAntiques
Harris Hall of Antiques,804-314-1153,5016 Roanoke Road Troutville VA 24175,http://facebook.com/Harris-Hall-of-Antiques-561571287240332
Vintage Summers Ltd.,804-239-7976,3303 Poplar Creek Ln Williamsburg VA 23188,http://facebook.com/vintagesummersltd?mibextid=LQQJ4d
Whispers of Time,804-553-9602,5512 Lakeside Ave Henrico VA 23228,http://facebook.com/Whispers5512
Zephyr Antiques ,276-628-6115,270 W Main St Abingdon VA 24210,http://facebook.com/zephyrantiques
Falls Church Antique Center,703-241-9642,250 W Broad St Falls Church VA 22046,http://facebook.com/Falls-Church-Antique-Center-589746178080699
JuJuBee’s,804-262-5508,6116a Lakeside Ave Henrico VA 23228,http://facebook.com/jujubeeslakeside
Brill's Antiques,757-596-5333,10527 Jefferson Avenue Newport News VA 23601,unavailable
Now, Then and Again,540-389-2008,1864 Apperson Dr Salem VA 24153,http://facebook.com/NowThenAndAgain/
Goodman's Interiors & Antiques,804-384-0593,5251 John Tyler Hwy Ste 4 Williamsburg VA 23185,http://facebook.com/goodmans.antiques
River Road Cottage & Market ,804-556-0783,2905 River Rd W Goochland VA 23063,http://facebook.com/theriverroadcottage
Willow Tree Antiques and Primitives,540-774-0405,In the heart of Roanoke Roanoke VA 24018,http://facebook.com/Willow-Tree-Antiques-Primitives-791234280960786
The ANTIQUE Barn,276-525-1122,1080 W Main St Abingdon VA 24210,http://facebook.com/abingdonantiquebarn
Fantastic Finds,804-586-5739,2107 Apperson Drive Salem VA 24153,http://facebook.com/fantasticfindsrva
The Raven's Cache,804-883-6950,18462 Mountain Rd Montpelier VA 23192,http://facebook.com/TheRavensCacheVa/
Chic's Antiques and Variety,540-745-4627,125 W Main St Floyd VA 24091,http://www.facebook.com/Chics-Antiques-162908503728487/
Something Special,276-254-4841,11668 U S Highway 19 Lebanon VA 24266,http://facebook.com/somethingspeciallebanonva
Foxglove Antiques & Etc.,276-628-8598,289 W Main St Ste A Abingdon VA 24210,http://facebook.com/Foxgloveantiquesabingdon
Blevin's Antiques & Restoration,804-598-4830,4171 Old Buckingham Rd Powhatan VA 23139,unavailable
West End Antiques Mall,804-359-1600,2004 Staples Mill Rd Richmond VA 23230,http://facebook.com/profile.php?id=100063620286849
Dixie Caverns Antiques,540-380-2085,5753 W Main St Salem VA 24153,unavailable
Hickory Creek Antiques,804-798-0202,427 England St Ashland VA 23005,http://facebook.com/hickorycreekva/
MAC Mechanicsville Antiques and Collectibles,not available,7508 Mechanicsville Turnpike Mechanicsville VA 23116,http://facebook.com/MechanicsvilleAC
William King Museum of Art,276-628-5005,415 Academy Drive Abingdon VA 24210,unavailable
Quail-at-the-Wood,540-825-2595,205 N Main St Culpeper VA 22701,unavailable
Exmore's Antique Emporium,757-414-0111,3304 Main St Exmore VA 23350,http://facebook.com/Exmore-Antique-Emporium-1507192206248262/
Wolf Hills Antiques, LLC,276-525-4330,280 W Main St Abingdon VA 24210,http://facebook.com/wolfhillsantiques
The Peppermill Restaurant,276-623-0530,231 W Main St Abingdon VA 24210,http://facebook.com/profile.php?id=159655327444134paipv=0dl_redirect=1
Antiques at Winterhurst,276-646-0134,234 Church Ave Chilhowie VA 24319,http://facebook.com/antiquesatwinterhurstllc
Charlies Antiques & Amazing Stones ,757-645-4406,6500 Richmond Rd Unit K Williamsburg VA 23188,http://facebook.com/p/Charlies-Antiques-100050308880730/
The Blue Crow Antique Mall,757-442-4150,32124 Lankford Hwy Keller VA 23401,http://www.facebook.com/bluecrowantiques/
